url,overall_score,first_contentful_paint,speed_index,largest_contentful_paint,interactive
https://fampay.in/blog/author/aadithyan/,0.91000000,530,1709.231608026187,1720,530
https://fampay.in/faqs,0.79000000,625,1003.3071836824817,3814.5,1677.5
https://fampay.in/blog/famstars-we-stress-less-and-accomplish-more/,0.89000000,530,1963.1234363744911,1812,530
https://fampay.in/blog/why-do-online-payments-get-stuck-and-what-can-you-do/,0.85000000,1430,1832.2193407769287,1819,1430
https://fampay.in/blog/author/fampay/page/2/,0.93000000,530,1439.3816620298244,1565.5,530
https://fampay.in/blog/author/mehak/,0.90000000,530,1543.8222454485924,1883.5,530
https://fampay.in/blog/the-journey-to-my-passion/,0.76000000,530,2289.026869015688,2970.5,728
https://fampay.in/blog/one-stop-solution-for-all-your-kyc-concerns/,0.91000000,530,1693.6604001311769,1701.5,530
https://fampay.in/blog/fampay-the-solution-to-your-cash-problems/,0.85000000,1420,1852.4341580990758,1852.5,1522
https://fampay.in/blog/author/ritwick/,0.90000000,530,1480.4637598413508,1901,530
https://fampay.in/terms,0.66000000,640,1345.6078919992844,2641,1747
https://fampay.in/blog/author/chirag-gupta/,0.91000000,530,1306.00138513256,1871,530
https://fampay.in/blog/fampay-raises-4-7m-from-y-combinator-sequoia-venture-highway-others/,0.93000000,530,1705.1666074560867,1513,530
https://fampay.in/blog/tag/lifestyle/,0.90000000,530,1534.9735700238639,1918.5,530
https://fampay.in/blog/author/hitarth/,0.91000000,530,1445.7180378017592,1845.5,530
https://fampay.in/blog/author/anshika/,0.91000000,530,1436.436322539821,1844.5,530
https://fampay.in/blog/tag/famsays/page/2/,0.80000000,530,1655.2052864415805,3210,530
https://fampay.in/blog/top-5-platforms-for-students-to-learn-new-things/,0.85000000,1433,1843.1539302637452,1788,1433
https://fampay.in/blog/creating-protecting-our-future/,0.51000000,530,2803.910489822362,5439,1054
https://fampay.in/blog/author/ayushi/,0.94000000,530,1318.07614583906,1495,530
https://fampay.in/partner,0.78000000,625,1528.8724326904216,3908,2488.5
https://fampay.in/blog/author/shifa/,0.92000000,530,1635.7184225914775,1600.5,530
https://fampay.in/blog/author/priyanka/,0.94000000,530,1389.039807317752,1492,530
https://fampay.in/about,0.75000000,625,1346.7801673216336,5523,1878.5
https://fampay.in/,0.99000000,625,931.2708271815873,665,1806
https://fampay.in/blog/author/diya/,0.91000000,530,1718.1585365153865,1627,1383
https://fampay.in/blog/author/charvi/,0.91000000,530,1553.4023702886177,1718,530
https://fampay.in/blog/from-a-self-taught-programmer-since-age-9-to-becoming-a-ceo-at-15/,0.71000000,530,2635.6382286936314,4962,530
https://fampay.in/blog/writing-content-for-a-content-saturated-generation/,0.85000000,1432,1971.141439367042,1832.5,1432
https://fampay.in/blog/how-to-clean-up-your-android-apps-dependencies-the-ultimate-guide-2/,0.83000000,1438,2178.670742947761,1895.5,1438
https://fampay.in/blog/things-you-must-know-as-a-teens-parent/,0.91000000,530,1569.655177031762,1797,530
https://fampay.in/blog/how-to-build-your-resume-and-portfolio-right-from-school/,0.89000000,530,1671.760442276472,1910.5,530
https://fampay.in/blog/from-the-rough-road-of-failure-to-the-dream-travel-of-success/,0.79000000,530,1965.6595059932026,3192.5,530
https://fampay.in/blog/7-cool-insta-dads-of-bollywood/,0.76000000,1470,2734.65389335727,2474.5,1740.5
https://fampay.in/blog/3-financial-lessons-from-nature-itself/,0.84000000,1431,2093.487034063749,1877.5,1431
https://fampay.in/blog/tag/product/,0.92000000,530,1562.2588672306852,1659.5,530
https://fampay.in/blog/5-habits-of-highly-successful-teens/,0.91000000,530,1631.8603310306594,1770,530
https://fampay.in/blog/top-4-head-turning-fashion-tips-and-trends-for-the-sassy-gen-z/,0.90000000,530,1642.1175491467302,1800.5,1679.5
https://fampay.in/blog/teen-fashion-trends-that-we-love/,0.89000000,530,1662.2426151279665,1938,530
https://fampay.in/blog/cyber-bullying-what-can-you-do-as-a-parent/,0.86000000,1420,1872.365944433946,1758.5,1420
https://fampay.in/blog,0.88000000,600,1998.9922380426606,1849.5,600
https://fampay.in/blog/solving-social-problems-through-entrepreneurship/,0.74000000,530,2360.224630601023,3807.5,567
https://fampay.in/blog/tag/famsays/page/3/,0.72000000,530,2048.2451103096696,3050,791.5
https://fampay.in/blog/tag/pr-news/,0.90000000,530,1880.346115698469,1647,530
https://fampay.in/blog/fampay-amongst-linkedins-top-startups-list-2021/,0.89000000,530,1653.730258160594,1920,530
https://fampay.in/blog/mental-health-matters-5-things-to-remember-while-in-quarantine/,0.88000000,530,1717.7230997433282,1985,530
https://fampay.in/blog/tag/famsays/,0.77000000,530,1752.0424035202352,3050,725
https://fampay.in/blog/author/shiv/,0.90000000,530,1443.8061869301132,1923.5,530
https://fampay.in/blog/how-i-blurred-age-barriers-with-technology/,0.74000000,530,2402.4648889700366,3899.5,530
https://fampay.in/blog/my-journey-into-the-world-of-art/,0.82000000,530,1952.3995850632577,2580.5,530
https://fampay.in/blog/page/3/,0.90000000,530,1696.5661040817795,1777,530
https://fampay.in/blog/researching-the-unresearched-genzs/,0.85000000,1420,2046.2195129415222,1762.5,1420
https://fampay.in/blog/covid-19-vaccination-as-a-teen-a-guide/,0.86000000,530,2039.356294924381,2081.5,534
https://fampay.in/blog/want-to-become-a-teenage-influencer-start-here/,0.85000000,1431,1956.9342043619176,1783.5,1431
https://fampay.in/blog/page/2/,0.88000000,530,1734.0530905300625,1950.5,530
https://fampay.in/blog/author/tiara/,0.92000000,530,1433.3301690093035,1702.5,530
https://fampay.in/blog/teen-focused-fintech-startup-fampay-raises-38m-in-series-a/,0.92000000,530,1590.2420168524836,1557,530
https://fampay.in/blog/tag/growth/page/2/,0.91000000,530,1764.4199466941795,1639.5,530
https://fampay.in/blog/author/fampay/page/3/,0.92000000,530,1692.0419234433416,1598.5,530
https://fampay.in/blog/famcard-your-first-prepaid-card/,0.87000000,530,1659.2881645880527,2095,530
https://fampay.in/blog/the-most-beautiful-college-campuses-in-india/,0.88000000,530,1616.191002087185,2120,530
https://fampay.in/blog/tag/teens/page/2/,0.83000000,530,1937.549314568258,2520,530
https://fampay.in/blog/tag/parents/,0.90000000,530,1676.1269001009255,1862.5,530
https://fampay.in/press,0.91000000,625,1157.8050438187356,1866,1460
https://fampay.in/blog/decor-ideas-that-would-transform-your-room-at-home-or-hostel/,0.85000000,530,2063.7038830372976,2131.5,530
https://fampay.in/blog/tag/teens/,0.85000000,530,1994.444448533985,2260,530
https://fampay.in/blog/tag/growth/,0.91000000,530,1782.5531417074585,1693.5,530
https://fampay.in/blog/effectively-harnessing-motion-design-for-genzs/,0.84000000,1431,2050.7285919096385,1820.5,1431
https://fampay.in/blog/top-5-tips-to-communicate-better-with-your-teenager/,0.89000000,1202,1758.0271696006089,1624,1211.5
https://fampay.in/blog/jumpstart-your-career-5-unconventional-career-choices-for-genzs/,0.91000000,530,1663.1270670311706,1644.5,530
https://fampay.in/blog/building-indias-first-genz-teen-exclusive-community/,0.86000000,1420,2065.0542137878865,1674.5,1420
https://fampay.in/friends,0.91000000,625,1373.520025241474,1846,1825.5
https://fampay.in/blog/tag/culture/,0.91000000,530,1548.2577522494332,1700,530
https://fampay.in/blog/bridging-generation-gap-understanding-your-genz-teenager-better/,0.91000000,530,1659.3303825111361,1725,530
https://fampay.in/blog/author/fampay/page/4/,0.93000000,530,1501.7721134707454,1519.5,530
https://fampay.in/blog/guide-for-seeking-support-from-fampay-important-dos-and-donts/,0.87000000,548,1701.2073917124326,2104.5,562
https://fampay.in/blog/fampay-is-set-to-launch-indias-first-and-biggest-digi-fest-for-teens/,0.82000000,530,1809.0288218772755,2752,530
https://fampay.in/blog/why-vaccination-a-guide-to-vaccination-for-teens-in-india/,0.87000000,530,1730.8921135811042,2168.5,540
https://fampay.in/blog/author/gauri/,0.90000000,530,1433.7846738253065,1923.5,530
https://fampay.in/blog/tag/lifestyle/page/3/,0.93000000,530,1577.1283515033076,1564,530
https://fampay.in/blog/author/sameeran/,0.93000000,530,1463.2095360006688,1525,530
https://fampay.in/privacy,0.85000000,625,1388.0739076887767,2531.5,1700
https://fampay.in/blog/impact-of-social-distancing-on-teen-mental-health/,0.90000000,530,1621.618562695218,1851,530
https://fampay.in/blog/tag/teens/page/3/,0.89000000,530,1703.074871472902,1882,540
https://fampay.in/blog/author/kaavyya/,0.93000000,530,1390.9033333587583,1581.5,530
https://fampay.in/blog/,0.90000000,530,1871.9535777664894,1745,530
https://fampay.in/blog/the-story-behind-fampays-tech-stack/,0.83000000,1470,2044.9572210715523,1864.5,1470
https://fampay.in/blog/author/suhani/,0.93000000,530,1686.1493005204659,1490,530
https://fampay.in/blog/author/aditi/,0.92000000,530,1452.5507471631433,1680.5,530
https://fampay.in/blog/author/aadithyan/,0.92000000,530,1372.7957343926253,1733.5,530
https://fampay.in/faqs,0.84000000,625,1150.6217811410525,2851,1845
https://fampay.in/blog/famstars-we-stress-less-and-accomplish-more/,0.89000000,530,1769.6246578604234,1833.5,530
https://fampay.in/blog/why-do-online-payments-get-stuck-and-what-can-you-do/,0.84000000,1420,2065.0251292773974,1811.5,1420
https://fampay.in/blog/author/fampay/page/2/,0.90000000,530,1804.7172955929725,1720.5,530
https://fampay.in/blog/author/mehak/,0.89000000,730.5,1597.2293517732523,1894,743.5
https://fampay.in/blog/the-journey-to-my-passion/,0.78000000,530,2310.2405633473245,2971.5,668
https://fampay.in/blog/one-stop-solution-for-all-your-kyc-concerns/,0.91000000,530,1632.3971501409883,1717,530
https://fampay.in/blog/author/ritwick/,0.89000000,530,1797.6509806557265,1895,530
https://fampay.in/terms,0.66000000,640,1352.3498361416557,2651.5,1715.5
https://fampay.in/blog/author/chirag-gupta/,0.89000000,530,1489.4295266248696,1965,530
https://fampay.in/blog/tag/lifestyle/,0.90000000,530,1469.1437152871254,1886.5,530
https://fampay.in/blog/author/hitarth/,0.88000000,530,1611.8157386961443,2118.5,530
https://fampay.in/blog/author/anshika/,0.90000000,530,1490.16504385369,1842,530
https://fampay.in/blog/tag/famsays/page/2/,0.80000000,530,1654.932757193047,3210,583
https://fampay.in/blog/top-5-platforms-for-students-to-learn-new-things/,0.85000000,1420,1850.418606472028,1837.5,1420
https://fampay.in/blog/creating-protecting-our-future/,0.70000000,530,2505.3501543076563,5431,644.5
https://fampay.in/blog/author/ayushi/,0.93000000,530,1447.4938154583792,1523.5,530
https://fampay.in/blog/author/tanya/,0.92000000,530,1277.4495677540567,1775,530
https://fampay.in/blog/what-are-the-perks-of-using-fampay/,0.85000000,1430,1956.9200113309846,1741.5,1430
https://fampay.in/blog/digital-payments-exploding-in-india-yet-the-tech-savvy-teens-still-stuck-paying-with-cash-survey-by-fampay-indias-first-neobank-for-teenagers/,0.90000000,530,1688.5683937153194,1814.5,530
https://fampay.in/blog/tag/teenpreneurs/,0.90000000,530,1820.8760709580388,1777,530
https://fampay.in/blog/looking-for-financial-independence-as-a-youngster-5-ways-to-earn-while-youre-young/,0.89000000,530,1530.1531959125377,1981,530
https://fampay.in/blog/tag/news/,0.89000000,530,1719.221770139949,1846,530
https://fampay.in/blog/how-to-go-from-awkward-to-awesome-in-your-teens/,0.89000000,530,1839.3731612688575,1873.5,530
https://fampay.in/parent,0.77000000,625,2324.443838477279,3294.5,3195
https://fampay.in/blog/a-marketers-guide-to-moment-marketing/,0.85000000,1430,1941.2282600272365,1816,1430
https://fampay.in/blog/author/fampay/,0.94000000,530,1533.9751055826632,1457,530
https://fampay.in/blog/tag/parents/page/2/,0.89000000,530,1899.7477931704343,1775,530
https://fampay.in/blog/author/garvita/,0.93000000,530,1369.9146922145865,1597.5,530
https://fampay.in/blog/author/kavya/,0.85000000,530,1889.4998212640346,2238.5,530
https://fampay.in/blog/club-teens-one-stop-online-community/,0.90000000,530,1806.5860643490332,1704,530
https://fampay.in/blog/author/saipremtelkar/,0.92000000,530,1470.6650672253809,1704.5,530
https://fampay.in/blog/how-a-pressing-problem-can-lead-to-technological-innovation/,0.84000000,530,1733.1311236197912,2443.5,530
https://fampay.in/blog/tag/tech/,0.94000000,530,1558.4505944676448,1460,530
https://fampay.in/blog/page/5/,0.89000000,530,1695.6001186449323,1905.5,530
https://fampay.in/blog/perks-of-using-the-famcard-me/,0.86000000,530,1802.0026226250732,2152.5,530
https://fampay.in/blog/fampays-guide-to-digital-payments-for-teens-important-dos-and-donts/,0.91000000,530,1535.379725354914,1782.5,530
https://fampay.in/blog/tag/community/,0.89000000,530,1565.9959262701614,1922.5,530
https://fampay.in/blog/fampay-announces-launch-of-indias-first-numberless-card/,0.90000000,530,1678.789564771525,1785.5,530
https://fampay.in/blog/how-to-save-those-extra-bucks-while-shopping/,0.77000000,774,2105.9575802154013,2830,2980
https://fampay.in/blog/a-to-z-of-teenage-finance-financial-terms-every-parent-should-teach-their-teens/,0.91000000,530,1706.7116255141884,1738.5,530
https://fampay.in/blog/how-can-teens-open-shops-on-instagram/,0.84000000,1432,2046.1582398332612,1886.5,1432
https://fampay.in/blog/generation-z-as-global-citizens-can-create-a-revolution/,0.81000000,530,2143.9101703463134,2657,530
https://fampay.in/blog/study-habits-that-are-simple-and-highly-effective/,0.87000000,530,1905.8570781991768,2042.5,530
https://fampay.in/blog/tag/teens/page/4/,0.89000000,530,1600.9316215443785,1938,530
https://fampay.in/blog/getting-your-generations-right-millennials-v-s-genz/,0.84000000,1437,1970.689998359911,1900.5,1437
https://fampay.in/blog/living-life-genz-style/,0.90000000,530,1628.7627454448943,1815,530
https://fampay.in/blog/author/sajal/,0.92000000,530,1446.3949558295337,1742,530
https://fampay.in/blog/tag/lifestyle/page/2/,0.93000000,530,1241.1349815323256,1682,530
https://fampay.in/blog/author/hrishikesh/,0.93000000,530,1368.6254413421527,1585,530
https://fampay.in/careers,0.84000000,625,1213.810463192264,2805,1903
https://fampay.in/blog/author/rida/,0.89000000,530,1489.118427945047,2024,530
https://fampay.in/blog/evolution-of-parenting-parent-of-a-millennial-vs-parent-of-a-genz-kid/,0.85000000,1433,1906.440277523627,1756,1433
https://fampay.in/blog/tag/product/page/2/,0.91000000,530,1641.9881968239915,1662,530
https://fampay.in/blog/fampay-partners-with-visa-to-launch-indias-first-doodle-card-for-genz/,0.88000000,530,1770.5896470385214,2017.5,530
https://fampay.in/contact,0.83000000,625,1344.875261669422,2827,1805
https://fampay.in/blog/page/4/,0.90000000,530,1539.3917275855492,1818,530
https://fampay.in/blog/productivity-hacks-for-teens-this-will-change-your-life/,0.88000000,530,1737.1511642314395,1971,530
https://fampay.in/blog/author/arohi/,0.93000000,530,1503.5755018715322,1508,530
https://fampay.in/blog/pursuing-my-dream-of-becoming-a-psychologist/,0.81000000,530,1837.3836694311658,2801,530
https://fampay.in/blog/how-instagram-reel-can-really-grow-your-brand/,0.89000000,530,1705.5364359091927,1892.5,530
https://fampay.in/blog/author/advait-thakur/,0.89000000,530,1444.0986892922392,1980.5,530
https://fampay.in/blog/from-teenage-to-teen-entrepreneurs-make-your-story-inspiring/,0.81000000,1431,2279.3683575420982,2053.5,1431
https://fampay.in/blog/when-building-for-genzs-build-it-on-discord/,0.89000000,530,1903.6417312335182,1839,530
https://fampay.in/blog/every-little-thing-counts-ways-in-which-you-can-contribute-to-society-as-a-teenager/,0.84000000,1470,1961.8561599605277,1866,1470
https://famapp.in/blog/looking-for-financial-independence-as-a-youngster-5-ways-to-earn-while-youre-young/,0.88000000,370,1702.0841713733405,2054,1233
https://fampay.in/blog/tag/parents/page/2/,0.87000000,600,2010.706386608175,1976,1632
https://fampay.in/blog/author/aditi/,0.90000000,600,1600.6023680810015,1885.5,600
https://fampay.in/blog/how-to-build-your-resume-and-portfolio-right-from-school/,0.87000000,600,1775.7262538135717,2149.5,1415
https://famapp.in/terms,0.87000000,410,1110.3441696867146,2434,1511
https://famapp.in/blog/from-teenage-to-teen-entrepreneurs-make-your-story-inspiring/,0.86000000,960,1825.4430399863072,2066,960
https://fampay.in/blog/the-most-beautiful-college-campuses-in-india/,0.85000000,600,1789.0495590753399,2369,1632
https://fampay.in/blog/how-i-blurred-age-barriers-with-technology/,0.74000000,600,2281.046364409057,4065,600
https://fampay.in/blog/tag/teens/,0.83000000,600,2010.292601385681,2478,600
https://fampay.in/blog/why-do-online-payments-get-stuck-and-what-can-you-do/,0.82000000,1436,1972.313635666177,2118.5,1576
https://fampay.in/privacy,0.76000000,625,1342.0177546019393,2609.5,1590
https://famapp.in/blog/famcard-your-first-prepaid-card/,0.87000000,370,1533.5501136247312,2221,370
https://fampay.in/blog/tag/teens/page/2/,0.83000000,600,1698.4181636463968,2656,600
https://famapp.in/blog/things-you-must-know-as-a-teens-parent/,0.90000000,370,1555.5699722649001,1851,1386
https://fampay.in/blog/a-marketers-guide-to-moment-marketing/,0.84000000,1190,1942.9429383760498,2063.5,1404
https://fampay.in/blog/tag/teenpreneurs/,0.87000000,600,1695.249223263048,2089,1617
https://famapp.in/blog/tag/famsays/page/2/,0.61000000,370,1803.6743918121313,3180,1487
https://fampay.in/blog/how-to-order-a-famcard-in-less-than-5-minutes/,0.88000000,600,1712.8669522507676,1971.5,1622
https://fampay.in/blog/tag/lifestyle/,0.87000000,600,1642.2789436541084,2165.5,600
https://fampay.in/blog/cyber-bullying-what-can-you-do-as-a-parent/,0.85000000,1190,1853.3015735496137,1985,1210
https://famapp.in/blog/how-i-blurred-age-barriers-with-technology/,0.74000000,370,2329.111996856632,3958.5,1373
https://fampay.in/blog/getting-your-generations-right-millennials-v-s-genz/,0.84000000,1190,1929.1928964495846,2067.5,1190
https://fampay.in/blog/tag/famsays/,0.79000000,600,1858.8636131470194,3190,618.5
https://famapp.in/blog/tag/growth/page/2/,0.93000000,370,1377.9711865206905,1533,1363
https://fampay.in/blog/tag/culture/,0.90000000,600,1785.2980725177335,1729,600
https://famapp.in/blog/productivity-hacks-for-teens-this-will-change-your-life/,0.88000000,370,1683.5882493526747,2077.5,370
https://famapp.in/blog/page/5/,0.90000000,370,1530.5863905802757,1830,370
https://fampay.in/careers,0.84000000,625,1100.9781326747934,2831.5,1942
https://fampay.in/blog/author/saipremtelkar/,0.90000000,600,1410.941291494998,1865.5,600
https://fampay.in/blog/tag/community/,0.88000000,600,1596.906426859131,2080,600
https://fampay.in/blog/fampays-guide-to-digital-payments-for-teens-important-dos-and-donts/,0.87000000,600,1867.3462656025044,2006,600
https://fampay.in/blog/tag/tech/,0.92000000,600,1544.1591274716643,1593,1404
https://famapp.in/blog/a-marketers-guide-to-moment-marketing/,0.86000000,1203,1771.0806404765194,1939,1203
https://fampay.in/press,0.81000000,625,1401.9370950711736,3154.5,1808
https://famapp.in/blog/tag/parents/page/2/,0.92000000,370,1533.9926561127836,1690,370
https://famapp.in/blog/getting-your-generations-right-millennials-v-s-genz/,0.86000000,1204,1791.1887855475431,1971.5,1376
https://famapp.in/blog/13-boredom-busters-for-teens/,0.67000000,370,2742.1286634045077,2840,692.5
https://fampay.in/faqs,0.85000000,625,1378.4325491668774,2592.5,1907
https://famapp.in/blog/writing-content-for-a-content-saturated-generation/,0.84000000,1202,2056.9791301553164,1986.5,1375
https://famapp.in/blog/how-to-go-from-awkward-to-awesome-in-your-teens/,0.89000000,410,1648.8806590767244,1959,1156
https://famapp.in/blog/living-life-genz-style/,0.88000000,370,1679.345879025279,1985.5,370
https://fampay.in/blog/impact-of-social-distancing-on-teen-mental-health/,0.88000000,600,1637.7322928685057,2048.5,600
https://famapp.in/blog/how-a-pressing-problem-can-lead-to-technological-innovation/,0.83000000,370,1810.0899540744615,2552.5,370
https://famapp.in/blog/tag/news/,0.92000000,370,1604.019008536272,1588,1224
https://fampay.in/,0.99000000,625,904.9693151884463,872,1961
https://famapp.in/blog/tag/lifestyle/page/2/,0.94000000,370,1405.505645257809,1440,370
https://famapp.in/blog/why-vaccination-a-guide-to-vaccination-for-teens-in-india/,0.86000000,370,1660.669043828033,2312,1260
https://famapp.in/faqs,0.81000000,395,1174.1897037191686,3134,1599.5
https://fampay.in/blog/tag/news/,0.89000000,600,1789.1535696571727,1917.5,1617
https://famapp.in/blog/journey-to-the-centre-of-100k-downloads/,0.83000000,1021.5,2245.4047159578117,2201.5,3537
https://famapp.in/blog/savings-for-teens-its-never-too-early-to-start/,0.83000000,1206,2159.462885982869,2045.5,1834
https://fampay.in/blog/author/hrishikesh/,0.91000000,600,1478.128920942293,1813.5,1705
https://famapp.in/blog/tag/pr-news/,0.94000000,370,1379.65775660866,1477,370
https://famapp.in/about,0.76000000,445,1113.4777447432057,5381.5,1713
https://famapp.in/blog/tag/parents/,0.90000000,370,1707.5889976472727,1760,1169
https://fampay.in/blog/tag/product/page/2/,0.89000000,600,1711.1887491436482,1856.5,600
https://fampay.in/blog/perks-of-using-the-famcard-me/,0.84000000,600,1899.4141178852697,2347,600
https://famapp.in/blog/the-story-behind-fampays-tech-stack/,0.85000000,1246,1902.7318585593243,1998,1416
